target_id	length	eff_length	est_counts	tpm
cgd1_730-RA	1066	792	0	0
cgd1_733-RA	569	295	0	0
cgd1_740-RA	846	572	0	0
cgd1_750-RA	15741	15467	0	0
cgd1_760-RA	2786	2512	0	0
cgd1_770-RA	1614	1340	0	0
cgd1_780-RA	844	570	1	23.087
cgd1_790-RA	4197	3923	0	0
cgd1_80-RA	444	170	0	0
cgd1_800-RA	1974	1700	0	0
cgd1_810-RA	1803	1529	0	0
cgd1_820-RA	2510	2236	0	0
cgd1_830-RA	3140	2866	0	0
cgd1_840-RA	634	360	0	0
cgd1_843-RA	254	18.3371	0	0
cgd1_850-RA	465	191	2	137.796
cgd1_860-RA	222	12.6175	0	0
cgd1_870-RA	633	359	1	36.6562
cgd1_880-RA	1218	944	7	97.5815
cgd1_890-RA	4269	3995	0	0
cgd1_90-RA	2274	2000	0	0
cgd1_900-RA	318	48.5146	0	0
cgd1_905-RA	74	4.82576	0	0
cgd1_910-RA	1046	772	0	0
cgd1_920-RA	1716	1442	0	0
cgd1_930-RA	900	626	38	798.823
cgd1_940-RA	540	266	0	0
cgd1_950-RA	1446	1172	0	0
cgd1_960-RA	1458	1184	0	0
cgd1_970-RA	2502	2228	2.10152	12.4125
cgd1_980-RA	2625	2351	0	0
cgd1_990-RA	3444	3170	0	0
Cgd2_140-RA	276	24.9909	0	0
Cgd2_1810-RA	945	671	0	0
Cgd2_2990-RA	714	440	1	29.9081
cgd2_10-RA	1338	1064	0	0
cgd2_100-RA	1239	965	0	0
cgd2_1000-RA	1920	1646	1	7.99488
cgd2_1010-RA	1761	1487	0	0
cgd2_1020-RA	1293	1019	5	64.571
cgd2_1030-RA	945	671	0	0
cgd2_1040-RA	576	302	0	0
cgd2_1050-RA	1044	770	0	0
cgd2_1060-RA	2157	1883	1	6.98862
cgd2_1070-RA	321	50.8321	0	0
cgd2_1080-RA	1755	1481	0	0
cgd2_1090-RA	1518	1244	0	0
cgd2_110-RA	1721	1447	0	0
cgd2_1100-RA	2913	2639	0	0
cgd2_1110-RA	1513	1239	0	0
cgd2_1120-RA	1488	1214	0	0
