geneSymbol	male_CryptoDB_46_rep_1	male_CryptoDB_46_rep_2	male_CryptoDB_46_rep_3	male_CryptoDB_46_rep_4	female_in_vitro_CryptoDB_46_rep_1	female_in_vitro_CryptoDB_46_rep_2	female_in_vitro_CryptoDB_46_rep_3	female_in_vitro_CryptoDB_46_rep_4	female_in_vivo_CryptoDB_46_rep_1	female_in_vivo_CryptoDB_46_rep_2	female_in_vivo_CryptoDB_46_rep_3	female_in_vivo_CryptoDB_46_rep_4	asexual_CryptoDB_46_rep_1	asexual_CryptoDB_46_rep_2	asexual_CryptoDB_46_rep_3	asexual_CryptoDB_46_rep_4
cgd2_2460-RA	4.042817006067853	4.527100763610913	5.627814479774263	4.107366884068361	5.049704855842272	4.114042324054085	3.7622917050318803	4.73036452773536	5.824456594824475	5.712780723133393	5.642074257618928	4.770752958966166	4.309961401410503	5.285854387575982	5.069170830450222	4.266307839667073
cgd2_2470-RA	3.219490177344863	4.035313451091744	2.2294206748706236	3.059705832679527	0.13242993892958843	2.6608318798479735	3.717750565415281	0.13242993892958843	4.3169151134306105	4.091412022315222	4.586383649162775	2.411093824253024	0.13242993892958843	4.280004049628553	2.8829211236664407	2.9024528721784755
cgd2_2480-RA	6.376146180109951	6.7041512716150224	6.485524629399005	6.169304321616429	6.958005103305642	6.92719803597777	6.448741705390356	6.8408678897220785	7.6249129148056	7.119218619243545	7.10363933750912	6.929447284261844	7.505188582039311	6.68075095013881	7.412115443844304	7.254710990122408
cgd2_2490-RA	4.265676179154283	3.10442024162451	5.058113217610812	3.5548260375228318	2.7333550388168746	2.608047939433917	1.9928769367870636	4.069354534781264	0.13242993892958585	1.0569156216890196	0.8843402103485766	0.13242993892958843	3.287158815928818	0.13242993892958585	0.13242993892958585	0.13242993892958585
cgd2_2500-RA	6.248486653067124	6.300895631927616	7.52685687634937	6.466444194334856	6.9492496960720755	6.889564743657723	6.939863258317073	5.530861139528619	8.213296626939364	8.049257745594195	8.333732019212853	6.222645049708851	3.8470391851804786	2.7442225775666294	4.0064917316888895	2.796672580508664
cgd2_2510-RA	7.446877007658398	7.55907920938505	7.597031598684633	7.945894594326316	9.485513867148642	9.13089488027833	9.132837392930728	7.8153097604623	10.321050234314157	10.219177892975036	10.32809339961914	9.085948281069012	3.2246965830793837	3.6120900635065625	2.992926803452007	3.2949049920032594
cgd2_2520-RA	6.031216598153322	5.810891476656306	6.504211328100241	5.6395341191956225	4.004318037347892	3.115828474702222	3.6716350259524337	4.082182514867713	3.8549683431663238	4.3381212939991975	4.59592113665466	2.371240899889653	3.2993445562910564	4.232513269941071	1.207323773646084	2.515390303485079
cgd2_2523-RA	6.3383826585027725	6.4019046224016405	6.033233737972441	6.116608571027323	6.163201117710933	5.402963126070396	5.846803000950599	5.06302094607357	5.104184222257269	4.484937002818791	4.337312684055016	4.453023553964794	5.4577770043956475	3.7158094027859923	4.203623015550331	4.071796006684906
cgd2_2530-RA	8.103655375161372	8.273688081740302	7.953626251694053	7.681251833215013	7.473355408409679	7.919357441757986	7.578524502721277	7.861632748747249	6.912122516830832	6.623975023116496	6.418342207352915	6.258758804371303	7.492435778656304	7.058613537414433	7.876887499434435	7.51317538582864
cgd2_2533-RA	3.068920028637679	3.4986365850541343	3.5279666843773003	2.9588515487701694	0.13242993892958843	0.13242993892958585	0.13242993892958585	0.13242993892958843	0.13242993892958585	0.13242993892958585	0.13242993892958585	0.13242993892958843	0.13242993892958843	0.13242993892958585	0.13242993892958585	0.13242993892958585
cgd2_2550-RA	6.702510608267613	6.5174706627788215	6.49275077369286	6.214800117901796	4.675665283842064	5.279939691485313	5.292956384367587	3.991492201002095	4.137449359631279	3.408508311596269	3.448187390373852	4.796014117190876	6.314897759187287	5.4990885733517185	4.571364966567645	5.3722306032914116
cgd2_2560-RA	8.699863349001275	8.62813101329689	7.278971001429064	8.67802383774349	8.489347726952522	8.450300030201394	8.914849175416533	8.293293280139494	9.710921833712064	9.08775970309802	8.915883465184004	8.985546275359264	7.903907621971207	7.524149762826047	7.888960657469334	8.50951798544964
cgd2_2570-RA	7.2227819744586625	7.284480343051436	7.236292827400877	6.6051326271917725	6.515197475206046	7.139048767532878	6.217725864619545	6.916295397130361	5.4662049350163	5.353627733279266	5.61868369480129	5.532366985635796	6.297386472310585	7.788091062784078	7.72288269536698	7.450379979308906
cgd2_2580-RA	7.118040729634689	7.543958332522529	6.637981601918374	8.147556242887687	8.184087070961494	8.616259162155231	8.534954791966191	7.419837738585329	5.659793095615535	6.825177119554576	7.0603327586961395	3.123097093339125	6.018471143323517	6.566469168246556	6.287719397456204	6.425868040971618
cgd2_260-RA	3.858239539852842	4.50012137410622	3.0595301020994503	0.13242993892958843	3.0659472996278816	1.8292570190902557	0.13242993892958585	0.13242993892958843	3.155089015309576	4.6737874505326396	5.181247748288293	5.202584794424386	3.880030751458698	5.15230290820635	5.094228901576462	3.8672377326361715
cgd2_2600-RA	3.226382352841834	4.637441601434076	2.578563422463033	3.1018794038870507	0.13242993892958843	0.13242993892958585	0.13242993892958585	0.13242993892958843	2.9535352786259605	5.315467265826423	4.777501911860408	2.320665045547274	2.961448787900241	2.752506866103297	2.520012596120707	3.9843547993966117
