geneSymbol	WT_30hrs_vehicle_rep_1	WT_30hrs_vehicle_rep_2	WT_30hrs_vehicle_rep_3	WT_30hrs_Shield_rep_1	WT_30hrs_Shield_rep_2	WT_30hrs_Shield_rep_3	MybM_OE_30hrs_vehicle_rep_1	MybM_OE_30hrs_vehicle_rep_2	MybM_OE_30hrs_vehicle_rep_3	MybM_OE_30hrs_Shield_rep_1	MybM_OE_30hrs_Shield_rep_2	MybM_OE_30hrs_Shield_rep_3
cgd1_300-RA	4.453030804483815	4.865611779994291	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	4.715715055934027	4.9591512117761	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_3000-RA	3.832455755507526	4.439606720890312	4.4365802409010335	4.418034900617806	4.45271675604056	3.832455755507526	5.39767459727224	5.013117061372674	4.9591512117761	4.818477123749131	3.832455755507523	4.431837137305568
cgd1_3020-RA	4.453030804483815	4.865611779994291	4.8611041283824115	4.418034900617806	3.832455755507523	3.832455755507526	5.397674597272237	5.653599879410962	5.404197360314745	4.408114233712773	4.463803748905587	6.035803346663718
cgd1_3040-RA	3.832455755507526	4.865611779994291	4.4365802409010335	4.418034900617803	5.217312215528215	3.832455755507526	3.832455755507526	4.340649973106039	3.832455755507523	4.408114233712773	6.263301185911714	3.832455755507526
cgd1_3060-RA	4.885550255049628	5.461459092357434	3.832455755507523	5.155493620595592	5.217312215528215	6.012021735569443	4.407580201128971	5.013117061372674	4.671652206978158	3.832455755507523	3.832455755507523	4.431837137305568
cgd1_3070-RA	3.832455755507526	4.865611779994291	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	4.817673399998502	3.832455755507523	3.832455755507523	4.818477123749131	3.832455755507523	3.832455755507526
cgd1_3130-RA	3.832455755507526	4.865611779994291	4.4365802409010335	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	5.469993819964452	4.312231313413673	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_3140-RA	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	4.340649973106039	4.9591512117761	3.832455755507523	4.463803748905587	3.832455755507526
cgd1_3160-RA	4.804228730817261	5.0663247802584115	5.29308371937496	6.060288496645394	5.655581797080888	3.832472163597786	3.832455764422493	6.19681817756833	3.832455755507523	5.81143668666761	5.885366023223121	6.033555466486839
cgd1_3170-RA	7.6370946456202	6.891101320959379	6.970097012416044	7.004024556639031	8.289827030666574	7.861864419055639	6.893728996235645	6.787824704659651	7.047367100400858	7.330388473344684	7.127403686731578	7.333440166208127
cgd1_3210-RA	3.832455755507526	3.832455755507526	4.4365802409010335	3.832455755507526	4.45271675604056	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507523	3.832455755507523	3.832455755507523	4.854030394174543
cgd1_3220-RA	3.832455755507526	3.832455755507526	4.4365802409010335	3.832455755507526	3.832455755507523	3.832455755507526	4.407580201128971	4.340649973106039	3.832455755507523	3.832455755507523	4.463803748905587	3.832455755507526
cgd1_3290-RA	3.832455755507526	4.439606720890312	3.832455755507523	3.832455755507526	3.832455755507523	4.499995579565438	3.832455755507526	3.832455755507523	3.832455755507523	3.832455755507523	3.832455755507523	4.431837137305568
cgd1_330-RA	4.453030804483815	5.881908355257329	4.4365802409010335	4.833380623280831	4.8850848317771645	4.9546143527451205	4.817673399998502	5.962777443589024	6.249239763727136	5.398749819344398	4.901486453908895	6.188750086152762
cgd1_3340-RA	3.832455755507526	4.439606720890312	3.832455755507523	3.832455755507526	4.45271675604056	3.832455755507526	4.407580201128971	3.832455755507523	4.9591512117761	3.832455755507523	3.832455755507523	4.854030394174543
cgd1_3370-RA	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	4.499995579565435	3.832455755507526	4.340649973106039	3.832455755507523	4.408114233712773	3.832455755507523	3.832455755507526
cgd1_340-RA	3.832455755507526	3.832455755507526	3.832455755507523	4.833380623280831	4.8850848317771645	3.832455755507526	4.407580201128971	4.340649973106039	3.832455755507523	4.408114233712773	3.832455755507523	4.431837137305568
cgd1_3450-RA	8.060281563698425	7.848077818676825	8.171740853738433	6.740949078631199	8.288537521897775	8.05362619158172	7.390200504373621	7.850527193585448	7.423027551668676	7.664297900411974	7.657862811010403	7.515763231385724
cgd1_3480-RA	5.9113822897779205	5.881908355257329	6.788647774640419	4.833380623280831	6.620867035242729	5.578101124483457	6.392696173438977	4.715715055934027	5.887725558749251	6.131952561799362	5.7374439113779845	6.188750086152762
